stationReference,value,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1769,0.0,Rainfall station,52.199933,-2.097246,,,,
1770,1.4,Rainfall station,52.288216,-1.222206,,,,
1771,0.0,Rainfall station,52.911156,-2.637129,,,,
1771TH,-0.055,Letcombe Regis,51.571482,-1.449342,0.188,-0.127,0.71,0.02
1773,0.0,Rainfall station,52.222319,-2.17488,,,,
1774,0.0,Rainfall station,52.338976,-2.542273,,,,
1790TH,0.28,Abingdon,51.666656,-1.305189,1.81,0.005,0.9,0.0
1792,0.0,Rainfall station,52.307409,-2.728158,,,,
1793,0.0,Rainfall station,52.518531,-2.881966,,,,
1794,0.0,Rainfall station,51.87509,-2.275208,,,,
1796TH,0.571,Steventon,51.621195,-1.323534,1.463,0.469,1.023,0.523
1799TH,0.177,Culham Lock,51.6506,-1.267131,1.977,-0.452,0.298,0.038
1801TH,2.694,Clifton Lock,51.648617,-1.210808,1.934,-0.488,0.849,0.0
1812,0.0,Rainfall station,51.89986,-2.41343,,,,
1813,0.2,Rainfall station,51.749956,-2.336734,,,,
1814,0.4,Rainfall station,52.481443,-1.558947,,,,
1817,0.0,Rainfall station,52.708345,-2.980518,,,,
1819,0.0,Rainfall station,52.178577,-2.411624,,,,
1822SO,0.0,Rainfall station,50.811276,0.219288,,,,
1899TH,2.622,Days Lock,51.638206,-1.179444,1.322,-0.399,0.272,-0.38
1904TH,0.667,Rowsham Bridge,51.850671,-0.772585,2.03,0.0,1.51,0.07
1911TH,1.278,Aylesbury Thame,51.826251,-0.856541,2.512,0.206,1.9,0.406
1919TH,0.746,Bearbrook FD,51.819387,-0.786131,,,,
1922TH,0.487,Weston Turville,51.78506,-0.75797,0.8280000000000001,0.276,0.55,0.286
1923TH,0.874,Stocklake FD,51.824471,-0.789114,,,,
1925TH,1.167,Aylesbury,51.817792,-0.801624,2.0,0.612,1.49,0.968
1930,0.2,Rainfall station,52.080849,-2.563945,,,,
1930TH,1.489,Cuddington,51.795602,-0.944321,2.59,0.511,2.09,0.978
1961TH,1.875,Thame Bridge,51.753138,-0.982253,2.99,0.948,2.25,1.057
1980TH,4.86,Wheatley,51.740637,-1.115198,6.11,2.997,5.752,3.597
1984TH,1.129,Chalgrove,51.663282,-1.075268,1.934,1.0,1.75,0.9
1990TH,1.505,Stadhampton,51.675126,-1.132094,2.626,0.31,2.0,0.5670000000000001
1993TH,1.03,Dorchester,51.641035,-1.163757,2.835,0.145,1.376,0.223
1995TH,0.042,Ewelme,51.619653,-1.073786,0.201,0.006,0.46,0.041
2001,2.358,Bewdley,52.383563,-2.322438,5.563,0.053,3.3,0.207
2001TH,2.929,Benson Lock,51.617191,-1.116011,1.558,-0.581,0.31,0.038
2002,1.654,Evesham,52.092165,-1.942876,5.517,0.38,1.9,0.46
2002SO,0.871,SHERMAN BRIDGE GS,50.82568,0.175071,,,,
2002TH,,Cleeve Lock,51.529995,-1.135937,0.8310000000000001,-0.259,0.35,0.0
2003TH,3.224,Goring Lock,51.523317,-1.141252,1.306,-0.32,0.215,0.05
2004,0.673,Stoneleigh LVL,52.354922,-1.514617,,,,
2004TH,2.198,Whitchurch Lock,51.486605,-1.088869,0.976,-0.283,0.225,0.009
2005,116.75,Montford,52.724474,-2.872198,7.008,-0.121,4.8,0.287
2008,1.758,Tenbury,52.313207,-2.591539,5.968,0.279,4.5,0.428
2010,,Alscot Park,52.153735,-1.697245,2.859,-0.316,0.673,0.12
2011,1.11,Harford Hill,52.255374,-2.193909,2.834,0.016,2.0,0.189
2012,2.004,Walcot,52.706629,-2.60558,2.963,0.04,1.3,0.386
2015,1.724,Besford Bridge,52.114425,-2.108012,4.061,0.05,1.9,0.165
2016,1.069,Rodington,52.723597,-2.609812,1.612,0.119,1.0,0.208
2017,2.04,Wedderburn Bridge,51.909034,-2.32673,3.799,0.086,2.0,0.181
2018,0.687,Hookagate,52.678113,-2.791698,2.542,0.097,1.1,0.153
2019,0.701,Stareton,52.340881,-1.512833,2.699,0.048,1.95,0.105
2020,0.446,Yeaton,52.76777,-2.839715,1.127,0.042,0.7000000000000001,0.106
2020TH,,Blewbury,51.573061,-1.233747,0.486,0.053,0.24,0.086
2023,1.162,Offenham,52.100775,-1.910164,3.653,0.024,1.112,0.141
2024,0.546,Burcote,52.555203,-2.376056,1.927,0.026,0.55,0.102
2027,0.45,Ebley Mill,51.740019,-2.24687,1.396,-0.004,0.95,0.133
2029,2.094,Knightsford Bridge,52.198971,-2.389281,6.417,0.24,5.2,0.307
2032,3.703,Saxons Lode,52.049661,-2.200744,5.925,0.322,4.0,0.417
2034,0.408,Oak Cottage,52.385318,-2.337878,2.984,0.047,1.0,0.084
2036,0.877,Hinton On Green,52.064842,-1.966688,4.922,-0.002,2.65,0.072
2038,1.12,Llanyblodwel,52.794313,-3.110292,2.675,0.092,1.047,0.225
2039,0.796,Newnham Bridge,52.32,-2.523849,4.199,-0.131,1.5,0.159
2040,0.491,Tibberton,52.781029,-2.474812,1.239,0.06,0.327,0.118
2046,0.246,Cosford Ww RAIN,52.639315,-2.326238,,,,
2048,0.453,Wellesbourne,52.197687,-1.602579,2.228,0.05,0.362,0.091
2049,0.464,Leamington Pdw LVL,52.286203,-1.549042,,,,
2050,1.536,Eathorpe,52.316208,-1.431466,3.253,0.04,1.159,0.238
2052,0.63,Ternhill (Bailey Brook),52.879618,-2.55338,,,,
2054,1.579,Onibury,52.405995,-2.80328,3.632,0.642,1.7000000000000002,0.7000000000000001
2057,4.198,Haw Bridge,51.948918,-2.227065,6.228,0.343,4.5,0.533
2063,0.574,Prestwood LVL,52.473154,-2.197148,,,,
2067,1.672,Swindon,52.51274,-2.205945,3.058,0.083,1.336,1.044
2071,2.075,Ashleworth,51.922936,-2.265002,6.029,0.384,3.576,0.579
2077,1.994,Welsh Bridge,52.709797,-2.75808,5.252,0.107,2.7,0.422
2083,1.123,Stourbridge,52.457997,-2.140347,2.262,0.068,1.1,0.106
2084,0.911,Stourton,52.461315,-2.207471,3.216,0.054,2.4,0.105
2085,2.697,Diglis,52.179799,-2.225461,5.304,0.454,2.8,0.548
2086,2.94,Bransford,52.177055,-2.28833,6.086,0.304,4.4,0.363
2087,3.241,Mythe Bridge,52.00171,-2.163093,5.498,0.311,2.8,0.406
2088,0.807,Lilbourne,52.395138,-1.173153,1.881,0.057,0.659,0.098
2090,1.291,Rugby,52.38548,-1.26252,3.773,-0.1,1.079,0.035
2091,1.718,Warwick,52.284932,-1.562658,3.945,0.319,1.463,0.399
2092,1.632,Shipston,52.062264,-1.622014,5.223,0.045,0.969,0.119
2093,0.85,Stratford,52.191595,-1.70123,2.71,0.14,0.926,0.499
2094,0.914,Studley,52.274092,-1.88959,2.718,0.461,0.812,0.505
2095,1.391,Little Alne,52.247533,-1.793996,3.375,0.856,1.329,0.897
2097,3.508,Pershore,52.10744,-2.07193,6.067,2.6630000000000003,3.606,3.36
2098,3.306,Upper Pound,51.998663,-2.155508,5.491,1.926,2.8,2.127
2102,2.746,Minsterworth,51.850206,-2.336612,6.276,-0.012,5.7,0.953
2102SO,,Rainfall station,51.105481,0.116212,,,,
2104,0.473,Broom,52.180399,-1.87505,3.222,0.043,0.488,0.12
2107,1.013,Knighton,52.344778,-3.043943,2.852,0.515,0.981,0.532
2117,1.1,Churchover,52.421794,-1.255694,1.758,0.015,1.38,0.085
2124,0.391,Parkend,51.764493,-2.556805,1.268,0.006,0.6000000000000001,0.044
2125,0.168,Castle Foregate,52.714919,-2.749968,2.446,0.02,0.43,0.03
2128,0.0,Bredon,52.03494,-2.116566,4.6690000000000005,0.012,2.0,0.651
2129,0.258,Holyhead Road,52.417908,-1.54648,1.587,0.013,1.1,0.033
2131,1.245,Shelley Close,52.211373,-2.215962,1.798,0.509,1.35,0.544
2132,1.02,Leintwardine,52.359087,-2.876144,2.505,0.256,1.2,0.315
2133,0.824,Wyre Piddle,52.126787,-2.056054,3.365,0.065,0.636,0.116
2134,2.919,Buildwas,52.636354,-2.524962,7.037,0.419,3.4,0.424
2139,0.528,Charlton Kings,51.885938,-2.052672,2.657,0.268,0.449,0.28
2140TH,0.066,Frilsham,51.453438,-1.228555,0.654,-0.243,0.48,0.023
2150TH,0.09,Bucklebury,51.435635,-1.201665,0.849,-0.176,0.65,0.019
2153,2.903,Epney,51.797035,-2.348106,7.308,1.186,7.0,1.589
